date,temperature_2m_max,temperature_2m_min
1940-08-31 23:00:00+00:00,17.54,8.440001
1940-09-01 23:00:00+00:00,20.54,11.690001
1940-09-02 23:00:00+00:00,20.14,11.64
1940-09-03 23:00:00+00:00,19.39,9.54
1940-09-04 23:00:00+00:00,20.74,7.09
1940-09-05 23:00:00+00:00,23.09,10.04
1940-09-06 23:00:00+00:00,25.09,12.54
1940-09-07 23:00:00+00:00,25.69,14.04
1940-09-08 23:00:00+00:00,25.74,12.84
1940-09-09 23:00:00+00:00,22.49,12.34
1940-09-10 23:00:00+00:00,22.64,12.49
1940-09-11 23:00:00+00:00,15.99,7.74
1940-09-12 23:00:00+00:00,12.49,6.84
1940-09-13 23:00:00+00:00,16.99,7.1900005
1940-09-14 23:00:00+00:00,19.49,11.34
1940-09-15 23:00:00+00:00,16.94,8.64
1940-09-16 23:00:00+00:00,19.14,6.7400002
1940-09-17 23:00:00+00:00,21.94,10.64
1940-09-18 23:00:00+00:00,23.69,9.14
1940-09-19 23:00:00+00:00,25.34,13.09
1940-09-20 23:00:00+00:00,24.24,13.190001
1940-09-21 23:00:00+00:00,24.74,14.940001
1940-09-22 23:00:00+00:00,24.09,13.39
1940-09-23 23:00:00+00:00,26.39,14.74
1940-09-24 23:00:00+00:00,26.44,13.79
1940-09-25 23:00:00+00:00,17.44,10.29
1940-09-26 23:00:00+00:00,16.64,8.99
1940-09-27 23:00:00+00:00,16.49,9.64
1940-09-28 23:00:00+00:00,12.690001,7.6400003
1940-09-29 23:00:00+00:00,14.34,8.59
1940-09-30 23:00:00+00:00,15.139999,6.59
1940-10-01 23:00:00+00:00,18.54,12.64
1940-10-02 23:00:00+00:00,25.39,13.54
1940-10-03 23:00:00+00:00,21.39,11.24
1940-10-04 23:00:00+00:00,18.64,11.49
1940-10-05 23:00:00+00:00,18.24,10.49
1940-10-06 23:00:00+00:00,22.24,10.190001
1940-10-07 23:00:00+00:00,16.99,10.79
1940-10-08 23:00:00+00:00,17.39,10.29
1940-10-09 23:00:00+00:00,20.09,12.24
1940-10-10 23:00:00+00:00,24.14,11.29
1940-10-11 23:00:00+00:00,20.64,12.190001
1940-10-12 23:00:00+00:00,17.39,9.190001
1940-10-13 23:00:00+00:00,15.790001,7.79
1940-10-14 23:00:00+00:00,14.24,6.3900003
1940-10-15 23:00:00+00:00,13.940001,4.79
1940-10-16 23:00:00+00:00,10.29,2.84
1940-10-17 23:00:00+00:00,11.09,1.3399999
1940-10-18 23:00:00+00:00,11.940001,0.54
1940-10-19 23:00:00+00:00,12.940001,0.13999993
1940-10-20 23:00:00+00:00,9.99,0.089999974
1940-10-21 23:00:00+00:00,12.39,2.84
1940-10-22 23:00:00+00:00,11.99,6.7400002
1940-10-23 23:00:00+00:00,11.29,5.7400002
1940-10-24 23:00:00+00:00,12.84,6.94
1940-10-25 23:00:00+00:00,9.64,6.04
1940-10-26 23:00:00+00:00,5.94,3.59
1940-10-27 23:00:00+00:00,5.54,2.3899999
1940-10-28 23:00:00+00:00,4.84,0.23999995
1940-10-29 23:00:00+00:00,7.9400005,2.1899998
1940-10-30 23:00:00+00:00,6.19,-0.26000005
1940-10-31 23:00:00+00:00,9.49,-0.51
1940-11-01 23:00:00+00:00,9.940001,4.3900003
1940-11-02 23:00:00+00:00,13.190001,4.19
1940-11-03 23:00:00+00:00,12.54,7.24
1940-11-04 23:00:00+00:00,14.34,2.84
1940-11-05 23:00:00+00:00,8.79,4.54
1940-11-06 23:00:00+00:00,8.54,6.19
1940-11-07 23:00:00+00:00,9.24,0.44
1940-11-08 23:00:00+00:00,7.49,-1.76
1940-11-09 23:00:00+00:00,7.6900005,-2.3600001
1940-11-10 23:00:00+00:00,6.34,1.24
1940-11-11 23:00:00+00:00,9.14,4.44
1940-11-12 23:00:00+00:00,12.190001,5.7400002
1940-11-13 23:00:00+00:00,16.59,5.9900002
1940-11-14 23:00:00+00:00,14.14,8.64
1940-11-15 23:00:00+00:00,13.64,7.34
1940-11-16 23:00:00+00:00,14.690001,6.34
1940-11-17 23:00:00+00:00,13.940001,7.29
1940-11-18 23:00:00+00:00,11.940001,5.7400002
1940-11-19 23:00:00+00:00,10.89,4.2400002
1940-11-20 23:00:00+00:00,9.24,1.54
1940-11-21 23:00:00+00:00,10.29,-1.36
1940-11-22 23:00:00+00:00,9.440001,2.1899998
1940-11-23 23:00:00+00:00,9.39,3.84
1940-11-24 23:00:00+00:00,5.69,0.94
1940-11-25 23:00:00+00:00,7.09,-2.21
1940-11-26 23:00:00+00:00,6.94,-0.110000014
1940-11-27 23:00:00+00:00,6.09,-1.71
1940-11-28 23:00:00+00:00,3.89,-1.1600001
1940-11-29 23:00:00+00:00,2.6899998,-1.76
1940-11-30 23:00:00+00:00,0.94,-5.06
1940-12-01 23:00:00+00:00,-0.01000005,-8.36
1940-12-02 23:00:00+00:00,1.74,-5.16
1940-12-03 23:00:00+00:00,-1.36,-7.96
1940-12-04 23:00:00+00:00,-0.31,-6.5099998
1940-12-05 23:00:00+00:00,2.59,-3.1100001
1940-12-06 23:00:00+00:00,3.34,-2.96
1940-12-07 23:00:00+00:00,3.59,-1.21
1940-12-08 23:00:00+00:00,3.2899997,-3.76
1940-12-09 23:00:00+00:00,2.1399999,-6.0099998
1940-12-10 23:00:00+00:00,0.19,-4.06
